offset, height, periods, date, time, temp
1.4, 8, 5, 13, 1, 15.2
1.2, 7, 6, 13, 2, 15.3
1.0, 9, 7, 13, 3, 15.1
0.8, 10, 8, 13, 4, 15.2
0.6, 11, 9, 13, 5, 15.3
0.4, 12, 10, 13, 6, 15.4
0.2, 11, 11, 13, 7, 15.1
0.4, 12, 11, 13, 8, 15.3
0.6, 10, 11, 13, 9, 15.2
0.8, 10, 10, 13, 10, 15.2
1.0, 9, 10, 13, 11, 15.2
1.2, 7, 10, 13, 12, 15.2
1.4, 6, 9, 13, 13, 15.4
1.2, 5, 9, 13, 14, 15.2
1.0, 5, 9, 13, 15, 15.2
0.8, 5, 9, 13, 16, 15.2
0.6, 6, 9, 13, 17, 15.2
0.4, 6, 9, 13, 18, 15.2
0.2, 7, 10, 13, 19, 15.2
0.4, 8, 10, 13, 20, 15.2
0.6, 10, 10, 13, 21, 15.2
0.8, 9, 10, 13, 22, 15.2
1.2, 8, 10, 13, 23, 15.2
1.4, 7, 9, 13, 00, 15.2
